missingTuples
28798
10553
5133
3132
2212
1686
1401
1224
1082
961
854
772
694
653
616
591
565
504
479
457
437
400
389
378
356
343
325
301
287
271
272
252
248
230
215
208
199
188
182
174
163
156
150
140
136
137
128
122
116
113
112
104
102
96
94
91
88
84
83
82
82
80
75
72
68
66
63
60
58
56
55
55
55
54
50
47
47
44
44
44
44
45
43
42
42
36
35
35
36
34
34
34
34
32
33
33
33
33
32
31
31
28
27
27
27
26
25
25
25
24
23
23
22
22
22
22
22
22
22
22
21
21
21
20
20
20
20
20
19
19
19
19
19
19
18
18
18
18
18
18
18
17
17
17
16
16
16
14
14
14
14
14
14
14
14
14
13
13
12
12
12
12
11
11
11
11
11
11
11
11
11
11
11
11
11
10
10
9
9
9
9
9
8
8
8
8
8
8
8
7
7
7
7
7
7
7
6
6
6
6
6
5
5
5
5
5
4
4
