k,t,Qnum,approach,time,size,benchmarkName,benchmarkSet
52,3,5,hhsa-h,1726,60,Bugzilla,real2
11,3,128,hhsa-h,*,*,CommProtocol,real1
5,3,7,hhsa-h,*,*,Concurrency,real1
199,3,40,hhsa-h,*,*,GCC,real2
10,3,21,hhsa-h,*,*,Healthcare1,real1
12,3,25,hhsa-h,*,*,Healthcare2,real1
29,3,31,hhsa-h,*,*,Healthcare3,real1
35,3,22,hhsa-h,*,*,Healthcare4,real1
14,3,0,hhsa-h,*,*,Insurance,real1
9,3,20,hhsa-h,*,*,NetworkMgmt,real1
15,3,13,hhsa-h,*,*,ProcessorComm1,real1
25,3,125,hhsa-h,*,*,ProcessorComm2,real1
13,3,388,hhsa-h,*,*,Services,real1
18,3,13,hhsa-h,680,80,Spin-S,real2
55,3,49,hhsa-h,37309,195,Spin-V,real2
4,3,95,hhsa-h,*,*,Storage1,real1
5,3,0,hhsa-h,*,*,Storage2,real1
15,3,48,hhsa-h,*,*,Storage3,real1
20,3,24,hhsa-h,*,*,Storage4,real1
23,3,151,hhsa-h,*,*,Storage5,real1
10,3,17,hhsa-h,*,*,SystemMgmt,real1
10,3,21,hhsa-h,*,*,Telecom,real1
172,4,7,hhsa-h,*,*,Apache,real2
5,4,112,hhsa-h,*,*,Banking1,real1
15,4,3,hhsa-h,*,*,Banking2,real1
52,4,5,hhsa-h,*,*,Bugzilla,real2
11,4,128,hhsa-h,*,*,CommProtocol,real1
5,4,7,hhsa-h,*,*,Concurrency,real1
199,4,40,hhsa-h,*,*,GCC,real2
10,4,21,hhsa-h,*,*,Healthcare1,real1
12,4,25,hhsa-h,*,*,Healthcare2,real1
29,4,31,hhsa-h,*,*,Healthcare3,real1
35,4,22,hhsa-h,*,*,Healthcare4,real1
14,4,0,hhsa-h,*,*,Insurance,real1
9,4,20,hhsa-h,*,*,NetworkMgmt,real1
15,4,13,hhsa-h,*,*,ProcessorComm1,real1
25,4,125,hhsa-h,*,*,ProcessorComm2,real1
13,4,388,hhsa-h,*,*,Services,real1
18,4,13,hhsa-h,*,*,Spin-S,real2
55,4,49,hhsa-h,*,*,Spin-V,real2
4,4,95,hhsa-h,*,*,Storage1,real1
5,4,0,hhsa-h,*,*,Storage2,real1
15,4,48,hhsa-h,*,*,Storage3,real1
20,4,24,hhsa-h,*,*,Storage4,real1
23,4,151,hhsa-h,*,*,Storage5,real1
10,4,17,hhsa-h,*,*,SystemMgmt,real1
10,4,21,hhsa-h,*,*,Telecom,real1
172,2,7,sq-chip,957.296,31,Apache,real2
5,2,112,sq-chip,34.5301,13,Banking1,real1
15,2,3,sq-chip,19.019,10,Banking2,real1
52,2,5,sq-chip,147.155,16,Bugzilla,real2
11,2,128,sq-chip,292.313,16,CommProtocol,real1
5,2,7,sq-chip,11.0021,5,Concurrency,real1
199,2,40,sq-chip,471.053,17,GCC,real2
10,2,21,sq-chip,140.748,30,Healthcare1,real1
12,2,25,sq-chip,39.5085,14,Healthcare2,real1
29,2,31,sq-chip,207.826,34,Healthcare3,real1
35,2,22,sq-chip,413.401,46,Healthcare4,real1
14,2,0,sq-chip,936.175,527,Insurance,real1
9,2,20,sq-chip,82.1656,110,NetworkMgmt,real1
15,2,13,sq-chip,64.9345,22,ProcessorComm1,real1
25,2,125,sq-chip,319.825,27,ProcessorComm2,real1
13,2,388,sq-chip,4220.09,106,Services,real1
18,2,13,sq-chip,35.3568,19,Spin-S,real2
55,2,49,sq-chip,334,32,Spin-V,real2
4,2,95,sq-chip,71.2549,17,Storage1,real1
5,2,0,sq-chip,27.7852,18,Storage2,real1
15,2,48,sq-chip,455.023,50,Storage3,real1
20,2,24,sq-chip,699.071,117,Storage4,real1
23,2,151,sq-chip,1855.99,215,Storage5,real1
10,2,17,sq-chip,32.6754,15,SystemMgmt,real1
10,2,21,sq-chip,121.968,30,Telecom,real1
172,3,7,sq-chip,90946.8,166,Apache,real2
5,3,112,sq-chip,378.172,45,Banking1,real1
15,3,3,sq-chip,142.295,30,Banking2,real1
52,3,5,sq-chip,4217.88,54,Bugzilla,real2
11,3,128,sq-chip,5845.92,50,CommProtocol,real1
5,3,7,sq-chip,214.846,8,Concurrency,real1
199,3,40,sq-chip,28671,91,GCC,real2
10,3,21,sq-chip,1322.53,103,Healthcare1,real1
12,3,25,sq-chip,524.356,52,Healthcare2,real1
29,3,31,sq-chip,1675.72,171,Healthcare3,real1
35,3,22,sq-chip,6926.56,257,Healthcare4,real1
