k,t,Qnum,Qlevel,time,size,approach,setup
140,2,212,9,14.44814,42.6,hybrid,8x4
200,2,0,0,11.10343,45.2,hybrid,8x4
200,2,84,3,12.347588,46.2,hybrid,8x4
200,2,169,6,16.243418,46,hybrid,8x4
200,2,254,9,14.421926,46.4,hybrid,8x4
20,3,0,0,22.05086,124.2,hybrid,8x4
20,3,26,3,24.86142,125,hybrid,8x4
20,3,53,6,38.5365,129.6,hybrid,8x4
20,3,80,9,40.65604,142.8,hybrid,8x4
80,3,0,0,346.5814,243.4,hybrid,8x4
80,3,53,3,421.6676,244.4,hybrid,8x4
80,3,107,6,467.291,245.6,hybrid,8x4
80,3,160,9,493.941,249.2,hybrid,8x4
140,3,0,0,1759.938,297,hybrid,8x4
140,3,70,3,1731.75,297.2,hybrid,8x4
140,3,141,6,1803.51,297.6,hybrid,8x4
140,3,212,9,1849.42,300.2,hybrid,8x4
200,3,0,0,4419.848,327.8,hybrid,8x4
200,3,84,3,4729.814,328,hybrid,8x4
200,3,169,6,4637.556,328.2,hybrid,8x4
200,3,254,9,5182.622,329,hybrid,8x4
20,2,0,0,1.4523534,24.8,hybrid,16x2
20,2,26,3,1.598826,24.8,hybrid,16x2
20,2,53,6,1.945124,25.2,hybrid,16x2
20,2,80,9,2.043502,27.6,hybrid,16x2
80,2,0,0,4.876606,37,hybrid,16x2
80,2,53,3,5.96905,36.8,hybrid,16x2
80,2,107,6,8.38359,37,hybrid,16x2
80,2,160,9,14.29076,37.4,hybrid,16x2
140,2,0,0,7.015052,42.6,hybrid,16x2
140,2,70,3,11.75896,42.2,hybrid,16x2
140,2,141,6,17.6175,42.2,hybrid,16x2
140,2,212,9,24.99038,42.2,hybrid,16x2
200,2,0,0,11.6419,45.2,hybrid,16x2
200,2,84,3,18.255762,45.4,hybrid,16x2
200,2,169,6,21.252112,46,hybrid,16x2
200,2,254,9,32.84448,46.2,hybrid,16x2
20,3,0,0,25.78802,123,hybrid,16x2
20,3,26,3,27.16658,123.4,hybrid,16x2
20,3,53,6,40.31894,128.6,hybrid,16x2
20,3,80,9,41.70796,140.6,hybrid,16x2
80,3,0,0,597.2894,242.8,hybrid,16x2
80,3,53,3,663.8208,242.8,hybrid,16x2
80,3,107,6,804.2422,244,hybrid,16x2
80,3,160,9,855.5556,248.4,hybrid,16x2
140,3,0,0,3110.312,297.2,hybrid,16x2
140,3,70,3,3229.058,297.2,hybrid,16x2
140,3,141,6,3359.504,298,hybrid,16x2
140,3,212,9,3555.56,298.8,hybrid,16x2
200,3,0,0,8510.238,327.6,hybrid,16x2
200,3,84,3,8655.104,327.6,hybrid,16x2
200,3,169,6,8897.748,327.6,hybrid,16x2
200,3,254,9,10393.28,329.2,hybrid,16x2
20,2,0,0,1.7491742,24.2,hybrid,32x1
20,2,26,3,1.964104,24.6,hybrid,32x1
